local_id,nft_id,name,card_text,power,hp,color,tier,supply,set,colorless_cost,red_cost,blue_cost,orange_cost,pink_cost,purple_cost,yellow_cost,green_cost,rainbow_cost,max_in_deck,type,icon
198,,Defender,*Guardian*.,3,3,yellow,Base,,Base Cards,2,,,,,,1,,,4,minion,
199,,Energy Blast,Deal 6 Damage to target minion.,,,yellow,Base,,Base Cards,2,,,,,,2,,,4,spell,
200,,Flying Machine,~Deploying precision strikes with relentless energy.~,5,5,yellow,Base,,Base Cards,1,,,,,,4,,,4,minion,
201,,General,"While in play, Reduce the costs of minions with Power of 3 or less by 1 Colorless Gem,",3,2,yellow,Base,,Base Cards,1,,,,,,2,,,4,minion,
202,,Light Infusion,Give target minion *Lifesteal*.,,,yellow,Common,,Base Cards,,,,,,,1,,,4,spell,
203,,Officer,*On Play*: Give *Power +1* to another target minion you control.,2,2,yellow,Base,,Base Cards,1,,,,,,1,,,4,minion,
204,,Replicator,*Turn Start*: Spawn a new Replicator minion.,1,1,yellow,Base,,Base Cards,1,,,,,,1,,,4,minion,
205,,Spear Cavalry,"When attacking a minion, deal 3 damage to a random enemy minion.",3,3,yellow,Base,,Base Cards,1,,,,,,3,,,4,minion,
206,,Swordsman,~Trained in the art of the blade.~,1,1,yellow,Base,,Base Cards,,,,,,,1,,,4,minion,
207,,Tank,*On Play*: Give *HP +2* to each other minion you control.,4,5,yellow,Base,,Base Cards,2,,,,,,4,,,4,minion,
208,,Wizard,*Turn Start*: Add a Yellow Recharge card to your hand.,1,2,yellow,Base,,Base Cards,,,,,,,2,,,4,minion,
209,,Yellow Champion,*Pumped*. *On Play*: Gain *Power +1* for each Yellow minion that you control.,4,6,yellow,Legendary,,Base Cards,1,,,,,,5,,,1,minion,
210,,Yield Farming,Draw 2 cards.,,,yellow,Base,,Base Cards,1,,,,,,2,,,4,spell,
211,36,Centaur,*Lifesteal*.,2,4,yellow,Common,2700,Genesis,2,,,,,,1,,,4,minion,
212,,Gnoll Warrior,Has *Power +1* for each minion in play.,0,2,yellow,Common,,Tempus,2,,,,,,1,,,4,minion,
213,44,Griffon,*Pumped*.,2,1,yellow,Common,3000,Genesis,1,,,,,,1,,,4,minion,
214,,Wen Lambo,*Season*. All minions have *Pumped*.,1,1,yellow,Common,,Tempus,1,,,,,1,,,,4,season,
215,7,CZ,"*Lifesteal*. Whenever CZ takes damage, add a Yellow Recharge card to your hand.",7,7,yellow,Legendary,350,Genesis,4,,,,,,3,,,1,minion,TRUE
216,75,Schiff,*Pumped*. Your Yellow cards cost -1 Yellow Gem to play.,6,5,yellow,Legendary,200,Tempus,3,,,,,,3,,,1,minion,TRUE
217,54,Wrath,Destroy all minions with Power 8 or greater.,,,yellow,Legendary,200,The 7 Deadly Sins,2,,,,,,3,,,1,spell,
218,76,Zeus,*On Play*: Both players gain a Gem of a random Color.,4,4,yellow,Legendary,200,Tempus,2,,,,,,2,,,1,minion,TRUE
219,84,Airdrop,Re-charge all of your gems.,,,yellow,Rare,600,Tempus,2,,,,,,1,,,3,spell,
220,61,Meekness,*Season*. Minions with Power 8 or greater cannot attack.,,,yellow,Rare,600,The 7 Deadly Sins,,,,,,,2,,,3,spell,
221,10,Pudgy Posse,*Pumped*. *Multi-Strike 3*. Cannot attack Heroes.,2,5,yellow,Rare,600,Genesis,2,,,,,,2,,,3,minion,
222,18,Werewolf,*Power +5* when attacking a minion. *On Stake (3)*: Give all friendly minions *Power +1*.,4,5,yellow,Rare,1100,Genesis,4,,,,,,1,,,3,minion,
223,22,Cyclops,Costs -1 Colorless Gem for each other minion in play.,7,7,yellow,Uncommon,1500,Genesis,7,,,,,,2,,,4,minion,
224,,Fenrir,*Lifesteal*. Gain *Power +1* when an enemy minion spawns.,3,5,yellow,Uncommon,,Tempus,3,,,,,,1,,,4,minion,
225,,FUD,*Cleanse* then *Silence* all minions in play.,,,yellow,Uncommon,,Tempus,,,,,,,2,,,4,spell,
226,,Light Elemental,*Lifesteal*. Has *Power +2* for every Elemental you control.,0,3,yellow,Uncommon,,Tempus,1,,,,,,2,,,4,minion,
227,,Hurt (Arsenal of Sin),Deal 2 damage to all minions.,,,yellow,,,The 7 Deadly Sins,,,,,,,,,1,,spell,
